Review Content
"Its very good phone. I got it on 23rd Feb.
   
  My Rating.
   
  Battery- 4.9/5
   
  Display-4.7/5
   
  Camera- 4.7/5
   
  RAM management- 4.6/5
   
   
  Its takes 2hrs 17mint to full charge. And 10hrs continue use with mixed data on.
   
  Internal storage available- 52GB
   
  Sound too loud.
  
  
   
   "
"Pros-
   
  Both rear and front camera is good.
   
  Both rear and front flash works great on low light photography.
   
  Portrait mode is nice.
   
  Battery backup is good.
   
  Stylish and slim.
   
  Blue colour is attractive and beautiful.
   
  Finger print sensor works quickly.
   
  Best phone within 20k.
   
  Cons-
   
  Flipkart flash sale is not good. I have to wait for 3 weeks.
   
  Front colour is white, That should be blue too.
   
  One Have to use back cover for the safety of the rear camera lenses.
   
  Overall I will give 8 out of 10.
  
  
   
   "
"blue color is most beautiful and phone is so fast
  
  
   
   "
"Awesome phone. Phone is faster &amp; both front &amp; rear camera quality is very nice
  
  
   
   "
"Great phone in every segment.
   
  Design 10/10
   
  Processor 10/10
   
  Camera 10/10
   
  Battery 9.5/10
   
  No Heating Problem
   
  Faster speed.
   
  Smooth gaming no lagging.
   
  Most attractive feature it its price.
   
  No company can provide such processor in this price range.
   
  Thanx Xiomi and Flipkart.
  
  
   
   "
"Black colour looks more attractive than other colours...
  
  
   
   "
"Review after 1 month use
   
   
  1.Camera 9/10- able to capture astonding portraits
   
  2. Battery 10/10- I reach back home from work with appox 60-70% battery remaining with mobile data on always.
   
  3. Software 9/10 -(Received Android 8 update yesterday)
   
  4. Speed- 9.5/10- didn't not experience any lag so far
   
  5. Value for money-10/10- couldn't find any better phone with 15 k budget.
  
  
   
   "
"Display. camera, performance and bettry are just awesome
  
  
   
   "
"Best Phone And Value For Money
   
  . My Opinion
  
  
   
   "
"Bought this product for my wife, because she was fed up with her iPhone which she bought only a few months back. She has been praising this phone ever since she got it.
   
  Pros:
   
  1. Face unlock works accurately
   
  2. Great and sharp display (18:9)
   
  3. Brilliant Camera (Front and Back)
   
  4. Great Battery Life
   
  5. Great thin cover for free
   
  6. Phone is very slim and looks classy
   
  7. MIUI 9 is faster than its previous versions
   
  8. Great value for money
   
   
  Cons:
   
  1. Screen might be a little bigger for some people's taste
   
  2. You've to press the power button to use face unlock feature. (Tip: Use Gravity Screen to get around this.)
   
  3. I'm really trying hard to look for cons but couldn't find any till now.
  
  
   
   "
"nice mobile long lasting battery
  
  
   
   "
"all good in this phone but must need for camera improvement.Camera click photos in very low size.front camera is better then rear.
  
  
   
   "
"Amazing Product
  
  
   
   "
"awesome :) ..loved it
  
  
   
   "
"wo ist a amazing phone
   
  1.very smooth
   
  2.very fast
   
  2.2 day battery life
   
  3.fast charging saport
   
  4. face lock
   
  i play asphalt 8 amazing smooth
  
  
   
   "
"The Best Phone under 20K with all the best specs that no phone can give so I rated 5 stars but the flash sale trick is not proper I tried 3 sales but after using pricetracker autobuy extension it worked for me...so if u also want to buy this phone don't forget to use price Tracker extension ( only on pc )....plzz leave a like :) :)
  
  
   
   "
"i love it
  
  
   
   "
"Its a very good phone for this price range. The black variant of this phone is too good. Had compared with other color which friends has &amp; black variant is really looking exceptional.
   
   
  And for people who are finding it difficult to order the phone in flash sale, I have  small tips for you.
   
   
  Usually flash sale get started at 11.59 and with in seconds it gets over. But what i did is, i kept on refreshing again and again for another 30 min and the product got pops up again. I got the phone available for checkout at 12.18 PM.
   
   
  So keep on refreshing the page for at least 30 min. You will get the phone.
   
   
  If it is getting added to cart and you was not able to check out, don't remove from the cart as its easy to refresh the cart page again and again and the moment continue button gets enabled click it.
   
   
  Another Tip : If you are able to add to cart and not able to check out.. Don't remove it from cart. Let it be there till next flash sale and it will be easy for you as its already in the cart. You just have to wait and keep of refreshing your cart.
   
   
  Happy purchase. :)
  
  
   
   "
"Awesome phone. Camara is goldern touch. All over masterpiece
  
  
   
   "
"nice product
  
  
   
   "
"very good phone
  
  
   
   "
"Best mobile...no lags..no heating..
  
  
   
   "
"Under 14000 this is the best smartphone ever in 2018
   
  But camera can be improved not bad as compare to mi a1
   
  But front camera is awesome
   
  Rare camera can be improved
   
  Display : 10/10
   
  Battery : 10/10
   
  Speaker : 9/10(in headphone usage)
   
  Ram Management : 9/10 (2gb always used)(2gb getting free out of 4gb) but processing is so fast may be ram clearance is showing wrong
   
  Processor : 11/10 hahaha bcz processor is soo powerful i installed antutu benchmark app and the score is 113345
   
  Battery Charging speed : 8/10 (from 52-100% takes 1hrs 5mins)
   
  Notification light : 5/10(because only white colour)
   
  Front Camera : 10/10
   
  Rear Camera : 9/10 (as compared to Mi a1 because mi a1's pictures are soo amazing but in note 5 pro pictures are dark in colour clearity as example : in mi a1 i am looking fair but in redmi note 5 pro i am looking 50% dark skin colour as compared to mi a1
   
   
  Thank you
   
  Hope my review will help you
  
  
   
   "
"Lucky to get this.. amazing under 15k.Love u MI
  
  
   
   "
"superb phone at price of 14k I have used note 4 before and only complain was camera especially front camera but using this device the camera performance is superb and front camera also works way better than its predecessor. I'm very happy to get this phone amazing product thanks for Flipkart but improve the flash sale coz everyone want this superb phone.
  
  
   
   "
"World's  Best phone &amp; best price by redmi ..
  
  
   
   "
"superb....nice mobile.... very nice camera....
  
  
   
   "
"awesome phone on low budget..
  
  
   
   "
"Sent me a defective  handset which is having heating &amp; battery draining issue, my handset reaching 45 to 48c heat and battery is getting drained with in 6 to 7 hours of minimum usage when i have reported the issue they are ready to time pass on it rather than solving it. The Technical guys who visited my house spent 5 min of time and play some Youtube videos and decides that the handset is working fine they don't use any tools they don't run any diagnostics to check the issue and they will be ready to close the case by showing that technical person has helped to solve the issue. After killing 10 days when i have reported the same thing they have come up with an answer that your 10 days time has passed and your are not eligible.
  
  
   
   "
"Super mobile
  
  
   
   "
"EXCELLENT MOBILE.... COLOR SUPER
   
  CAMERA IS MAJOR HIGHLIGHT
   
  PROCESSOR NICE
   
  WAITING  FOR OREO UPDATES
  
  
   
   "
"Awesome phone at this price range...
  
  
   
   "
"Seller cancels order after receiving payment after putting so much effort and wasting time on their flash sale they simply cancel your order and then you dont know when you wil get your money back.
  
  
   
   "
"This Phone is Just Fabulous!!
   
  First of all Thanks to Flipkart &amp; Ekart Logistics for delivering the product before completing 24 hours of placing the order !!
   
  Phone was well packed and I loved it ..
   
  In Packet Accessories:
   
  Phone, Back Cover, Travel Adaptor, Data Cable, SIM Ejection Pin
   
   
  Pros:
   
  * Premium Design
   
  * 18:9 Aspect Ratio Display
   
  * Rounded Display Corners
   
  * Qualcomm Snapdragon 636 Processor
   
  * Huge 4000 mAh Battery
   
  * Front &amp; Rear Camera both are awesome
   
   
  Cons:
   
  * No USB Type-C in 2018
   
   
  That's my first impressions of Redmi Note 5 Pro !!
   
  This is truly India's Camera Beast !!
   
   
  (UPDATE)
   
  Full Review after 15 Days usage:
   
   
  Used it for 15 days as my primary smartphone and I must say that you won't find better option than Redmi Note 5 Pro under 15K-17K price range.
   
   
  Design is personal preference and I loved the design very much. It's easy to hold in a single hand. Battery easily lasts for 1.5 days in a single charge with moderate usage.
   
   
  Voice/Video Call quality is excellent! Display is crisp and smooth. Rear camera quality is just superb! 20MP front camera is outstanding and it takes perfect portrait selfies and low light selfies as it's having front facing flash. And the built quality of the phone is outstanding! I just feel a premium smartphone in my hand when I hold this phone! I love the MIUI because it provides lots of customizations.
   
   
  My Rating:
   
    Battery: 5/5
   
    Built Quality: 4.7/5
   
    Camera: 4.7/5
   
    Call Quality: 4.5/5
   
    UI Experience: 4.6/5
   
   
  GO FOR THIS SMARTPHONE WITHOUT ANY CONFUSION !! THE BEST REDMI EVER !!   
   
   
  Thank you so much.. :)
  
  
   
   "
"You can't get anything better at this price :-)
  
  
   
   "
"India's Camera Beast....
   
   
  Great phone under 15k price range. No Heating issues, just like a DSLR photography.
   
  Battery good enough for 1 day but it goes more than one day for normal user.
   
   
  Only one Con - Oreo is missing for Indian Users.
  
  
   
   "
"awesome phone with awesome design...
   
  good built quality.
   
  camera is so nice.
   
  Thank you Redmi India.
   
  Thank you Flipkart.
   
  #loveredmi
  
  
   
   "
"vary nice Phone
  
  
   
   "
"is it S8?is it 5t or iphone X
   
   
  Cant explain what i am feeling Right now
   
  Best phone yet by Xiaomi
   
  Keep it up
   
  and the delivery service by Flipkart
   
  is just took around 30 hours
   
   
  Salute
  
  
   
   "
"Lovely mobile for a lovely price its a piece of excellence
  
  
   
   "
"awesome phone...
  
  
   
   "
"Great phone at sch a price.. One thing i like most is the camera xiaomi does a great job in camera...
   
  Slow motion video also look great...
   
  Battery is good
   
  Display is also good
  
  
   
   "
"Great quality... just looking for nxt sale for my sis
  
  
   
   "
"good phone
  
  
   
   "
"It's a swag phone.  I had been trying since the first sale but at last i got my hands on this.   It is a totally beast phone at this price.  1. The SDN636 PROCESSOR IS ULTRA FAST Which makes the device very fluid  2.  The Camera Quality is Wonderful both front and rear and REALLY IT IS INDIA'S CAMERA BEAST @14k    3.Adreno 509 GPU provides fantastic graphics when you play immersive games like asphalt 8,       4.The screen quality is gorgeous  and feels like an  amoled display.  5. Battery backup is insane.
  
  
   
   "
"Redmi note 5 pro best power pack model of Xiaomi.. Stunning look like premium flagship model, easy to hold in and.. 636 chep set very powerful. Jast love this  Mobile.. Great job Xiaomi India, And thanks to flipkart for quick delivery.     
  
  
   
   "
"After Using This Beast One Week The Only Thing I Would Like To Say That You Must Go On If You Are Thinking To Buy This. No Phone Stands Near It
   
  At This Price Range.
  
  
   
   "
"Cam is good
  
  
   
   "
"the best  
   
  the camera is awesome
   
  battery backup is smooth
   
  nice display
   
  no lags and no heating
   
  premium look
   
  i couldn't find any negatives for the phone even the speakers are lit
   
  don't think just go for it u won't regret
  
  
   
   "
"Really Awesome i loved   
   
  1. Performance
   
  2. battery life
   
  3. Screen resolution
   
  4. Fabulous #Camera
   
  5. Fantastic Body design
  
  
   
   "
"don't buy , they provide used phone with proper packaging
  
  
   
   "
"I've fallen in love!
   
  R- Raging Speed
   
  E- Excellent Performance
   
  D- Dynamic Display
   
  M- Metal Build
   
  I- Incredible Battery Life
   
   
  N- Noteworthy
   
  O- Outstanding
   
  T- Top Notch Specs
   
  E- Ergonomical
   
   
  5- Fabulous, Fantastic, Furious, Futuristic, Fantabulous
  
  
   
   "
"Fabulous product....worth fr money.. using it nearly 1 and half hour no heating issues.....my phone asking face unlock update. Can I update it.. anyone help
  
  
   
   "
"superb phone...
   
  Black looks amazing
   
  Best camera
   
  processing is very good
   
  low light image is also good
   
  Recommend to all
  
  
   
   "
"All feature are cool  . Portrait mode works same like DSLR as compared to mobile camera lense. Because mobile camera lense are Small and DSLR was large with many inbuilt lense. Camera 9/10. Display 10/10. Design 9/10. I prefer original back cover which gives very good feeling. It's really beats all Oppo vivo phone.
  
  
   
   "
"Best phone but price is to high not prb the camera is great.. And display is ok battery is good i like the portrait mode of this phone. Iike the phone very much...
  
  
   
   "
"received the item but facing huge issue with battery full battery is draining out within 8 to 9 hours facing terrible problem
  
  
   
   "
"Best smartphone ever in India by xiomi!!
  
  
   
   "
"VALUE FOR MONEY
   
  Awesome phone good for gaming with 4000mah battery look pretty good , excellent performance . And I like it   
  
  
   
   "
"Superb phone front facing camera amazing display is awesome Face unlock super  
   
  Battery life amazing nice look portrait selfie awesome
  
  
   
   "
"Nice mobile
   
  Good camera portrait photography
   
  Battery also good
   
  I prefer to buy this
  
  
   
   "
"what a camera ! jst amazing !
   
  perfect phone no compromise no problem
  
  
   
   "
